Brewery,Beer Name,Description,ABV,Festival Location
Juicy,Opaque: GMC,"Hazy IPA w/ Galaxy, Motueka & Citra",6.0%,Rodan
Juicy,Summer Mood,Dry-Hopped Kölsch,5.0%,Rodan
Keeping Together,Creatures of Infinite Contradiction,Mixed Fermentation Ale w/ Cabernet Franc & Merlot Wine Grape Must,8.7%,Rodan
Keeping Together,Dreaming of a Common Language,"Mixed Fermentation Ale w/ Hallertau Tradition, Tettnanger & Saaz Hops",6.7%,Rodan
Kings,Fros'e: Blue Raspberry Lemonade,"Fruited Sour Ale w/ Blueberry, Raspberry, Blue Raspberry & Lemon",7.0%,Medusa
Kings,Fros'e: Gelato Fruit Roll-Ups,"Fruited Sour Ale w/ Blueberry, Orange, Tangerine, Coconut & Fruit Roll-Ups",7.0%,Medusa
Lambiek Fabriek,Lambiek Fabriek Juicy & Wild Muscar-Elle 2022,Fruit Lambic w/ Muscaris Wine Grapes,8.8%,Poseidon
Lambiek Fabriek,Lambiek Fabriek Oude Geuze Brett-Elle 2022,Gueuze,6.3%,Poseidon
Lawson's,Little Sip,American IPA,6.2%,Medusa
Lawson's,Triple Sunshine,Triple IPA,10.5%,Medusa
Long Live,Frozie Cup: Peach & Pals,"Fruited Sour Ale w/ Peach, Passionfruit & Black Currant",4.0%,Drogon
Long Live,Small Joys: Marshmallow,"Imperial Stout w/ Chocolate, Almonds, Coconut, Marshmallows & Milk Sugar",13.0%,Drogon
Long Live,The All Seeing Eye,"Hazy Double IPA w/ Simcoe, Citra & Kohatu",8.4%,Drogon
Lost Boy,Barrel-Aged,Bourbon Barrel-Aged Dry Cider,6.9%,Cyclops
Lost Boy,Cannonball,"Dry Cider w/ Coconut, Pineapple, Peach & Banana",6.9%,Cyclops
Lost Generation,An Age Of Islands,Hazy IPA w/ Nelson Sauvin & Riwaka,6.6%,Rodan
Lost Generation,There Are Always Hops,"American IPA w/ Strata, Simcoe & Mosaic",6.7%,Rodan
Magnanimous,Crunchy Cinnamon Squares,Bourbon Barrel-Aged Imperial Stout w/ Cinnamon & Vanilla (Edmund's Oast Collab.),11.0%,Gargoyle
Magnanimous,Juice Lord Have Mercy,"Hazy IPA w/ Citra, Mosaic & Vic Secret",7.5%,Gargoyle
Magnify,The Power Of Science,"Hazy Double IPA w/ Strata, Nelson Sauvin, Citra & Galaxy",8.0%,Medusa
Magnify,Trade Proof: 7th Anniversary,"Fruited Sour Ale w/ Banana, Guava, Cotton Candy & Vanilla Ice Cream",4.5%,Medusa
Maine,Black Barn Program No. 36,Altbier,5.2%,Cyclops
Maine,Wolfe's Neck,"American IPA w/ Mosaic, El Dorado & Sabro",6.5%,Cyclops
Marlowe,Eager to Share,Hazy Pale Ale w/ Citra & Mosaic,5.4%,Mothra
Marlowe,Up Until Now,Kölsch,4.6%,Mothra
Mast Landing,Bourbon Barrel-Aged Imperial Gunner's Daughter 2021,Bourbon Barrel-Aged Imperial Stout w/ Milk Sugar,11.3%,Jabberwock
Mast Landing,October Sun,"Hazy IPA w/ Citra, Simcoe & Idaho 7",7.3%,Jabberwock
Mikerphone,Of Your Energy ,Polotmavý,5.0%,Nessie
Mikerphone,The Get-Fresh Flow,Hazy Double IPA w/ Nelson Sauvin & Mosaic,8.3%,Nessie
Mindful,Flower Crush,Wild Ale Blended w/ Skin Contact Piquette Wine,5.0%,Nessie
Mindful,Let's Swim To The Moon,Oak-Lagered Czech Pilsner w/ Brettanomyces,5.2%,Nessie
Modestman,The Most Beautifullest In This World,Hazy Double IPA w/ Citra,8.4%,Rodan
Modestman,Gravitas,Czech Pilsner,5.5%,Rodan
Modestman,Hard Rass,Fruited Sour Ale w/ Raspberries,8.0%,Rodan
Modestman,Mystic Warrior,Hazy IPA w/ Citra & Nelson Sauvin,7.0%,Rodan
Monkish,Japoolzi,Hazy Triple IPA (Trillium & The Veil Collab.),10.5%,Gargoyle
Monkish,LGA2LGB,Hazy Triple IPA (Other Half Collab.),10.0%,Gargoyle
Monkish,TXXTH,Bourbon Barrel-Aged Imperial Stout w/ Coconut & Vanilla,15.0%,Gargoyle
Mortalis,As Above So Below,Imperial Stout w/ Coffee,10.0%,Demogorgon
Mortalis,Gemini: Circle the Wagons,"Fruited Sour Ale w/ Blueberry, Raspberry, Marshmallows & Walnut",7.0%,Demogorgon
Narrow Gauge,Cloud City,"Hazy IPA w/ Citra, Mosaic, Galaxy & El Dorado",7.0%,Drogon
Narrow Gauge,Foeder Third Of The Way To Marz,Foeder-Lagered Märzen,5.7%,Drogon
New Anthem,A Single Drop Of Rain,Mixed Fermentation Ale w/ Aged Centennial Hops,5.5%,Drogon
New Anthem,Clapback: Galaxy TDH,Hazy Double IPA w/ Citra & Galaxy,8.0%,Drogon
Nighthawk,Mid-Day Sun,Mexican Lager,4.8%,Demogorgon
Nighthawk,pHat Watermelon Lime,Fruited Sour Ale w/ Watermelon & Lime,4.0%,Demogorgon
North Park,Bourbon Barrel-Aged Walnut Brownie Points,"Bourbon BA Imperial Stout w/ Walnuts, Cocoa Nibs, Vanilla & Milk Sugar (Equilibrium Collab.)",15.0%,Jabberwock
North Park,NPBC6 ,Bourbon Barrel-Aged Imperial Stout w/ Coconut & Vanilla,12.0%,Jabberwock
North Park,NPBC6: VIP Edition,"Bourbon Barrel-Aged Imperial Stout w/ Coconut, Vanilla & Coffee",12.0%,Jabberwock
North Park,Pseudo-Fu! ,"Hazy Double IPA w/ Citra, HBC-586 & Peacharine (Toppling Goliath Collab.)",8.5%,Jabberwock
North Park,Sunny: Idaho 7 & Riwaka,"Hazy Pale Ale w/ Citra, Idaho 7 & Riwaka",5.5%,Jabberwock
Ocelot,Big Cat,"Hazy Double IPA w/ Nelson Sauvin, Citra & Galaxy (The Veil Collab.)",9.0%,Demogorgon
Ocelot,Witching Hour,Märzen,5.9%,Demogorgon
Odd By Nature,Kolsch Bandicoot ,Kölsch,4.9%,Drogon
Odd By Nature,Purple People Eater ,"Fruited Sour Ale w/ Purple Kool-Aid, Ube & Milk Sugar (Harland Collab.)",5.5%,Drogon
Off Color,Apex Predator,Dry-Hopped Saison,6.5%,Mothra
Off Color,Wunderkammer,Mixed Fermentation Ale w/ Cherry Juice & Honey,5.8%,Mothra
Other Half,Bourbon Barrel-Aged Banana Running Club,"Bourbon Barrel-Aged Imperial Stout w/ Banana, Cocoa Nibs & Milk Sugar",11.0%,Demogorgon
Other Half,DDH Blue Crab,"Hazy IPA w/ Citra, Mosaic & Simcoe",6.5%,Demogorgon
Other Half,DDH Vapor Ringz,"Hazy Double IPA w/ Citra, Galaxy & Nelson Sauvin",8.4%,Demogorgon
Other Half,Poetry Snaps,Japanese Rice Lager,4.5%,Demogorgon
Oxbow,Luppolo,Italian Pilsner w/ Tettnanger & Hallertau Hersbrucker Hops,5.0%,Cyclops
Oxbow,Sweet Lullaby,"Mixed Fermentation Ale w/ Spent Peaches, Grapes & Cherries",6.5%,Cyclops
Pen Druid,Jupiter,Barrel-Fermented Double IPA w/ Mandarina Bavaria & Equinox + Raw Honey,9.0%,Jabberwock
Pen Druid,Titan,Dry-Hopped Blond Ale,4.2%,Jabberwock
Perennial,Société du Chêne Blend 2022: Vanuatu,Bourbon Barrel-Aged Imperial Stout w/ Vanuatuan Vanilla,14.1%,Rodan
Perennial,Waska,Pale Lager w/ Heirloom Quinoa,5.0%,Rodan
Phase Three,Digital Painting,Triple IPA w/ Honey,10.0%,Nessie
Phase Three,LULZ Smoothie: R & R,"Smoothie-Style Hard Seltzer w/ Guava, Coconut, Pineapple & Orange",5.0%,Nessie
Phase Three,Tonal Range,Hazy Double IPA w/ Citra & El Dorado,8.0%,Nessie
Plank,Dunkler Weizenbock,Weizenbock,7.9%,Cyclops
Plank,Hefeweizen,Hefeweizen,5.2%,Cyclops
Port City,Oktoberfest,Märzen,5.2%,Demogorgon
Port City,Rauch Märzen,Rauchbier,5.5%,Demogorgon
Potter's,Cranberry Orange Blossom,Cider w/ Cranberry & Orange Blossom,5.5%,Demogorgon
Potter's,Hewes Cuvée,Barrel-Aged Dry Cider w/ Hewes Crab Apples,9.5%,Demogorgon
Prairie,Basic Rebecca,Barrel-Aged Imperial Stout w/ Pumpkin & Fall Spices,13.6%,Jabberwock
Prairie,Tis The Sea-Sun,"Fruited Sour Ale w/ Key Lime, Mango, Coconut Cream & Vanilla",5.1%,Jabberwock
Primitive,New Memories,Wild Ale (Spontaneous),5.5%,Poseidon
Primitive,Room To Grow,Wild Ale w/ Cherries (Spontaneous),TBD,Poseidon
Proclamation,Haltija,Sahti-Inspired Brett Pale Ale,8.5%,Drogon
Proclamation,Moon Presence,Belgian Dark Strong Ale,10.8%,Drogon
RAR,Marylan,Dry-Hopped Blond Ale,5.2%,Mothra
RAR,Slip-Ons,Hazy Pale Ale,6.5%,Mothra
Recycled,Cool Opotamus,"Hazy Double IPA w/ Citra, Sabro & Idaho 7",8.4%,Drogon
Recycled,Invisible Horseman,"Hazy Double IPA w/ Citra, Mosaic & Strata",7.8%,Drogon
Red Bear,"Tall, Dark & Nutty",Imperial Stout w/ Peanut Butter & Milk Sugar,7.0%,Rodan
Red Bear,Tepache Gose,Gose w/ Pineapple,6.5%,Rodan
Resident Culture,Forever Alone: Nectaron,Hazy IPA w/ Nectaron,7.5%,Poseidon
Resident Culture,Island Times,Mexican Lager (Casita Collab.),4.5%,Poseidon
Resident Culture,The Impossibility of the Existence of Anything,"Bourbon Barrel-Aged Imperial Stout w/ Pistachio, Cocoa Butter, Orange Zest & Vanilla",13.5%,Poseidon
Right Proper,Le Flâneur,Sherry Barrel-Aged Mixed Fermentation Ale,10.0%,Mothra
Right Proper,Oktoberfest,Märzen,5.9%,Mothra
Root + Branch,Grammatical Fiction,"Hazy IPA w/ Citra, Comet & Simcoe",7.0%,Nessie
Root + Branch,Infiltrator ,Hazy IPA w/ Nelson Sauvin,6.5%,Nessie
Rothaus,Eiszäpfle,Märzen,5.6%,Cyclops
Rothaus,Tannenzäpfle,German Pilsner,5.1%,Cyclops
Sante Adairius,Bended Note,Mixed Fermentation Ale w/ Cherries,8.2%,Gargoyle
Sante Adairius,West Ashley,Pinot Noir Barrel-Aged Mixed Fermentation Ale w/ Apricots,7.3%,Gargoyle
Sapwood Cellars,Danger of Light,Hazy Pale Ale w/ Mosaic,6.2%,Medusa
Sapwood Cellars,Snip Snap,Hazy Double IPA w/ Citra & Galaxy,8.3%,Medusa
Schilling,Brennan,Foeder-Aged Rauchbier,6.9%,Demogorgon
Schilling,Hälfte,German Pilsner (Other Half Collab.),5.5%,Demogorgon
Schlenkerla,Helles,Helles Lager,4.3%,Cyclops
Schlenkerla,Märzen,Rauchbier,5.1%,Cyclops
Schneeeule,Irmgard,"Berliner Weisse w/ Ginger, Lemon, Orange & Pomegranate Peel",3.5%,Rodan
Schneeeule,Yasmin,Berliner Weisse w/ Jasmine Flowers,3.5%,Rodan
Schönram,Hell,Helles Lager,5.0%,Nessie
Schönram,Pils,German Pilsner,5.0%,Nessie
Schwendl,Schalchner Pale Weisse,Hefeweizen,5.2%,Nessie
Schwendl,Schalchner Weisser Bock,Weizenbock,7.4%,Nessie
Scratch,Dry-Hopped Persimmon Farmhouse Ale,Saison w/ Estate Persimmons + Local Mackinac Hops,6.9%,Nessie
Scratch,Jonathan Farmhouse Ale,Mixed Fermentation Ale w/ Wild Grapevines & Jonathan Apples,5.7%,Nessie
Short Throw,Now Chill,Hazy IPA w/ Mosaic,6.0%,Mothra
Short Throw,Slid To My Crib,"Fruited Sour Ale w/ Raspberry, Cherry & Blueberry",6.4%,Mothra
Sierra Nevada,Barrel-Aged Superfest,Bourbon-Soaked Oak Barrel-Aged Festbier,12.0%,Mothra
Sierra Nevada,Grand Cru Milieu,Blend of Oak Barrel-Aged Mixed Fermentation Ales,11.5%,Mothra
Silver Branch,Killer Castle,Unfiltered German Pilsner,5.0%,Medusa
Silver Branch,Monster City,Hazy Triple IPA,10.5%,Medusa
Sojourn,Before Sunrise,Austrian-Style Märzen (Bluejacket Collab.),5.0%,Demogorgon
Sojourn,Levity,Japanese Rice Lager (Wild East Collab.),4.6%,Demogorgon
Soul Mega,Rhythm & Beauty,Schwarzbier w/ African Queen Hops,6.0%,Rodan
Soul Mega,Worldwide,Hazy Pale Ale,5.5%,Rodan
Southern Grist,[Insert Juicier Pun],"Hazy IPA w/ Galaxy, Mosaic & Citra",7.9%,Drogon
Southern Grist,100K Hill,Fruited Sour Ale w/ Passionfruit & Blackberry,5.6%,Drogon
Southern Grist,Batch One Theory: Banana Pancake,"Barrel-Aged Imperial Stout w/ Thai Banana, Maple Syrup, Vanilla & Nutmeg",12.1%,Drogon
St. Bernardus,Abt 12,Abt/ Grand Cru,10.0%,Cyclops
St. Bernardus,Tokyo,Witbier,6.0%,Cyclops
Stillwater,Oude Northwest: Tale Of Two Fish,Mixed Fermentation Ale w/ Anchovy & Chinook Hops,5.1%,Mothra
Stillwater,Wavvy Sawtooth,"Hazy Double IPA w/ Citra, Motueka & NZ Cascade",8.0%,Mothra
Strangebird,Barrel-Fermented Petit Colosse,Barrel-Aged Table Beer,5.5%,Rodan
Strangebird,Do Up: Whiskey,Whiskey Barrel-Aged American Brown Ale w/ Honey,7.7%,Rodan
Suarez Family,Ms. Frank,Kellerbier/ Zwickelbier,4.7%,Medusa
Suarez Family,Triangular Nature,Mixed Fermentation Ale w/ Local Buckwheat,5.3%,Medusa
The Answer,I Put That Chit In Everything,Hazy IPA w/ Lotus & Citra (Parish Collab.),7.0%,Jabberwock
The Answer,Karate Hands,"Fruited Sour Ale w/ Mixed Fruit, Marshmallows, Shortbread & Milk Sugar (Oozlefinch Collab.)",7.0%,Jabberwock
The Brewer's Art,Cuvée 1106,Foeder-Aged Saison,5.6%,Cyclops
The Brewer's Art,XXVI,Grand Cru,8.6%,Cyclops
The Bruery,Ruekeller: Märzen,Märzen,6.3%,Cyclops
The Bruery,Vanilla Villain Reserve,Bourbon & Rum Barrel-Aged Imperial Stout w/ Vanilla Beans,17.1%,Cyclops
The Lost Abbey,Angel's Share,Barrel-Aged American Strong Ale,12.5%,Medusa
The Lost Abbey,Veritas 019,Mixed Fermentation Ale w/ Raspberries,5.8%,Medusa
The Referend,The Name of the Rose,"Wild Ale w/ Raspberries, Cherries & Vanilla (Spontaneous)",4.4%,Poseidon
The Referend,The Song of the Earth Chanterelle,Wild Ale w/ Mushrooms & Honey (Spontaneous),6.7%,Poseidon
The Seed,As Simple As Home?,Kellerbier/ Zwickelbier,4.5%,Rodan
The Seed,Of Things Past: Spent Strawberries 2021,Mixed Fermentation Ale w/ Strawberries & Wild Rose Blossoms,5.7%,Rodan
The Seed,Poetry In Motion,Bière de Coupage,5.7%,Rodan
The Veil,Dirt Nap: Enhanced,"Hazy Double IPA w/ Galaxy, Citra, Mosaic & Nelson Sauvin",8.8%,Jabberwock
The Veil,Eternal Slumber: Opulence,Double Oreo & Banana Split-Inspired Barrel-Aged Imperial Stout,13.0%,Jabberwock
The Veil,STARVE: Exhibit E,Bourbon Barrel-Aged Imperial Stout w/ Vanilla & Maple Syrup,14.0%,Jabberwock
Thin Man,Decoy Family,Mixed Fermentation Ale (Wild East Collab.),6.5%,Demogorgon
Thin Man,End Times Fun,Hazy Double IPA,8.8%,Demogorgon
Three Notch'd,Bourbon Barrel Biggie S'mores,Bourbon Barrel-Aged Imperial Stout w/ Graham Crackers & Milk Sugar,10.8%,Poseidon
Three Notch'd,Emperor of Clouds,Hazy Double IPA w/ Idaho 7 & Citra,9.0%,Poseidon
Threes,Indelible,Tmavý,4.4%,Gargoyle
Threes,My Righteous Self,Hazy IPA w/ Riwaka,5.8%,Gargoyle
Tilquin,Oude Gueuze 2018/2019,Gueuze,7.0%,Mothra
Tilquin,Oude Mirabelle 2020/2021,Fruit Lambic w/ Mirabelle Plums,7.0%,Mothra
Tilquin,Oude Mûre 2019/2020,Fruit Lambic w/ Blackberries,6.0%,Mothra
Tilquin,Oude Pinot Noir 2019/2020,Fruit Lambic w/ Pinot Noir Wine Grapes,8.1%,Mothra
Tilted Barn,Lawn Boy,Pale Lager,4.8%,Jabberwock
Tilted Barn,The Other One,Hazy Double IPA,7.9%,Jabberwock
Timber,Barrel-Aged Lumberjack Style 2022,Double Maple Bourbon Barrel-Aged Imperial Stout w/ Maple Syrup & Coffee,12.5%,Mothra
Timber,Riot of the Crows,"Hazy IPA w / Mosaic, Citra & Simcoe (Prison City Collab.)",7.0%,Mothra
Traunstein,Dunkel,Dunkel Lager,5.0%,Cyclops
Traunstein,Zwickl,Zwickelbier,5.3%,Cyclops
Trillium,Cuvée de Tetreault 2019,Wine & Bourbon Barrel-Aged Wild Ale w/ Black Currants (Spontaneous),11.4%,Nessie
Trillium,Endless: Vanilla,Rum & Bourbon Barrel-Aged Imperial Stout w/ Vanilla,15.6%,Nessie
Trillium,Fort Point: Riwaka DH,Hazy Pale Ale w/ Riwaka,6.6%,Nessie
Triple Crossing,Battle Creek,Hazy Double IPA w/ Mosaic,8.0%,Drogon
Triple Crossing,Pathway Pils,German Pilsner,5.0%,Drogon
Tripping Animals,Nectar Collector,"Fruited Sour Ale w/ Guava, Lime, Honey, Almonds & Milk Sugar",6.0%,Demogorgon
Tripping Animals,Pentamerous Tiger,Bourbon & Maple-Syrup Barrel-Aged Imperial Stout (Multi-Brewery Collab.),15.0%,Drogon
Tripping Animals,Schwein Haben,Märzen,5.5%,Demogorgon
True Respite,Garden,"Hazy IPA w/ Citra, Strata & Sabro",7.2%,Medusa
True Respite,Pumpkin Spice Latte,"Imperial Stout w/ Fall Spices, Coffee, Vanilla & Milk Sugar",10.5%,Medusa
TRVE,Cursed,Mixed Fermentation Ale,4.5%,Jabberwock
TRVE,First & Last & Always,Wild Ale (Spontaneous),7.0%,Jabberwock
Two Tides,Fresh Never Frozen,Fruited Sour Ale w/ Strawberry & Ice Cream,6.0%,Jabberwock
Two Tides,Preferential Treatment,"Imperial Stout w/ Chocolate, Vanilla, Strawberry & Ice Cream",9.5%,Jabberwock
Union,Celestial Pear,Wine Barrel-Aged Mixed Fermentation Ale w/ Red D'Anjou Pears,7.3%,Cyclops
Union,Foxy,American Amber Ale w/ Centennial & Columbus Hops,6.5%,Cyclops
Untold,East by Northwest,"American IPA w/ Azacca, Chinook, Columbus, Mosaic & Simcoe",6.8%,Medusa
Untold,Shadow Caster,"Black IPA w/ Citra, Strata, Simcoe & Columbus",6.2%,Medusa
Urban Farm,Blueberry Cidah,Wild Cider w/ Blueberries,5.5%,Gargoyle
Urban Farm,Hopped Cidah,Wild Cider Dry-Hopped w/ Cascade,6.5%,Gargoyle
Urban Garden,Chamolite ,Blond Ale w/ Chamomile & Honey,4.2%,Medusa
Urban Garden,Solar Return,Saison w/ Sorrel (City-State Collab.),5.8%,Medusa
Vibrissa,Eddy Hopping: El Dorado,American IPA w/ El Dorado,7.0%,Cyclops
Vibrissa,Klar,German Pilsner,4.7%,Cyclops
Vitamin Sea,Au Jus,Hazy IPA w/ Galaxy & Simcoe,7.8%,Jabberwock
Vitamin Sea,Conversation Narcissism ,"Imperial Stout w/ French Toast Cereal, Maple, Cocoa Nibs, Marshmallows & Vanilla",12.5%,Jabberwock
Vitamin Sea,Sour Pipe Project: Apricot Crumble,"Fruited Sour Ale w/ Apricot, Marshmallows, Cinnamon Streusel Crunch & Milk Sugar",6.0%,Jabberwock
Weathered Souls,Habitual Line Stepper: Fluffernutter,Imperial Stout w/ Peanut Butter & Marshmallow,14.5%,Gargoyle
Weathered Souls,Jamaican French Press,Imperial Stout w/ Coffee,11.1%,Gargoyle
WeldWerks,Guava Lime Gose,Gose w/ Guava & Lime,4.5%,Gargoyle
WeldWerks,Juicy Bits,"Hazy IPA w/ Mosaic, Citra & El Dorado",6.7%,Gargoyle
Wheatland Spring,Field + Vine 2021,Mixed Fermentation Ale w/ Petit Manseng & Cabernet Franc Wine Grapes,7.2%,Demogorgon
Wheatland Spring,Ursprung 2022,Festbier,6.0%,Demogorgon
Wheatland Spring,Violetta,Barrel-Aged Saison w/ Estate-Grown Barley,6.0%,Demogorgon
Widowmaker,2022 A Brewer's Odyssey: Double Stuffed,"Fruited Sour Ale w/ Oreo Cookies, Blueberry, Cocoa Nibs & Vanilla Ice Cream",7.0%,Gargoyle
Widowmaker,Polychronic Doom,"Hazy Double IPA w/ Citra, Rakau & Motueka",9.0%,Gargoyle
Wolves & People,Honeycone,Hazy IPA w/ Raw Honey,7.0%,Drogon
Wolves & People,Jarrbees,Dry-Hopped Mixed Fermentation Ale w/ Hood Strawberries,6.0%,Drogon
Wooden Robot,Ancient Wisdom,Mixed Fermentation Ale,5.0%,Medusa
Wooden Robot,Eternal Flux,Pale Lager,4.6%,Medusa
Wooden Robot,What She's Having,"Hazy Double IPA w/ Mosaic, Simcoe & Strata",8.0%,Medusa
Woven Water,Fusion: Raspberry & Peach Cobbler A La Mode,"Fruited Sour Ale w/ Raspberry, Peach, Vanilla Ice Cream, Cinnamon & Graham Crackers",6.5%,Jabberwock
Woven Water,Lucid,Hazy IPA w/ Citra & Simcoe,6.4%,Jabberwock